Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01610","Café, verde","2013","2013","toneladas","12550","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01610","Café, verde","2014","2014","toneladas","15009","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01610","Café, verde","2015","2015","toneladas","15000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01610","Café, verde","2016","2016","toneladas","14679.61","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01610","Café, verde","2017","2017","toneladas","13542.99","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01610","Café, verde","2018","2018","toneladas","13228.18","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01610","Café, verde","2019","2019","toneladas","13285.51","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01610","Café, verde","2020","2020","toneladas","13287.65","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01610","Café, verde","2021","2021","toneladas","10304","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01610","Café, verde","2022","2022","toneladas","16767","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","682","Arabia Saudita","5510","Producción","01610","Café, verde","2018","2018","toneladas","0","M","Valor ausente (los datos no pueden existir, no aplicable)",""
"QCL","Cultivos y productos de ganadería","682","Arabia Saudita","5510","Producción","01610","Café, verde","2019","2019","toneladas","0","M","Valor ausente (los datos no pueden existir, no aplicable)",""
"QCL","Cultivos y productos de ganadería","682","Arabia Saudita","5510","Producción","01610","Café, verde","2020","2020","toneladas","0","M","Valor ausente (los datos no pueden existir, no aplicable)",""
"QCL","Cultivos y productos de ganadería","682","Arabia Saudita","5510","Producción","01610","Café, verde","2021","2021","toneladas","0","M","Valor ausente (los datos no pueden existir, no aplicable)",""
"QCL","Cultivos y productos de ganadería","682","Arabia Saudita","5510","Producción","01610","Café, verde","2022","2022","toneladas","0","M","Valor ausente (los datos no pueden existir, no aplicable)",""
"QCL","Cultivos y productos de ganadería","084","Belice","5510","Producción","01610","Café, verde","2013","2013","toneladas","87.27","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","084","Belice","5510","Producción","01610","Café, verde","2014","2014","toneladas","87.54","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","084","Belice","5510","Producción","01610","Café, verde","2015","2015","toneladas","91.22","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","084","Belice","5510","Producción","01610","Café, verde","2016","2016","toneladas","89.13","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","084","Belice","5510","Producción","01610","Café, verde","2017","2017","toneladas","89.3","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","084","Belice","5510","Producción","01610","Café, verde","2018","2018","toneladas","89.88","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","084","Belice","5510","Producción","01610","Café, verde","2019","2019","toneladas","89.44","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","084","Belice","5510","Producción","01610","Café, verde","2020","2020","toneladas","89.54","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","084","Belice","5510","Producción","01610","Café, verde","2021","2021","toneladas","89.62","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","084","Belice","5510","Producción","01610","Café, verde","2022","2022","toneladas","89.53","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","204","Benin","5510","Producción","01610","Café, verde","2013","2013","toneladas","70","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","204","Benin","5510","Producción","01610","Café, verde","2014","2014","toneladas","57.3","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","204","Benin","5510","Producción","01610","Café, verde","2015","2015","toneladas","48.76","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","204","Benin","5510","Producción","01610","Café, verde","2016","2016","toneladas","58.69","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","204","Benin","5510","Producción","01610","Café, verde","2017","2017","toneladas","54.91","E","Valor estimado",""
