country,totcons2019,percapitacons2016
United States,27310.0,9.26
Germany,8670.0,12.13
Japan,7551.0,13.0
France,6192.0,11.9
Italy,5469.0,13.0
Russia,4820.0,13.0
United Kingdom,3770.0,13.0
Spain,3253.0,9.92
Poland,2501.0,13.0
Netherlands,2030.0,18.52
Sweden,1769.0,18.0
Finland,1348.0,26.45
Belgium,1185.0,15.0
Austria,1173.0,13.45
Greece,1139.0,11.9
Romania,1108.0,13.0
Switzerland,1073.0,17.42
Portugal,931.0,9.48
Czech Republic,843.0,13.0
Denmark,778.0,19.18
Norway,771.0,21.82
Tunisia,508.0,13.0
Bulgaria,423.0,13.0
Hungary,418.0,13.0
Croatia,381.0,11.24
Ireland,370.0,13.0
Lithuania,251.0,13.0
Slovakia,227.0,13.0
Luxembourg,224.0,14.33
Slovenia,204.0,12.79
Estonia,123.0,9.92
Cyprus,115.0,10.8
Latvia,114.0,13.0
Malta,23.0,13.0
Iceland,2560.735294117647,19.84
Bosnia and Herzegovina,2560.735294117647,13.67
Lebanon,2560.735294117647,10.58
Canada,2560.735294117647,14.33
Brazil,2560.735294117647,12.79
